leaf_id,media_id,real_original_area,estimated_original_area,real_remaining_area,calculated_remaining_area,real_defoliation,estimated_defoliation
6,00,10.84375,10.824676231062126,9.2171875,10.8957,15,-0.6561283443662358
6,01,10.84375,10.824676231062126,9.2171875,10.948199999999996,15,-1.141131303155385
7,00,18.28125,18.49208548741764,12.796875,13.8163,30,25.285333504428863
7,01,18.28125,18.49208548741764,12.796875,13.475700000000002,30,27.12720255825597
8,00,19.0625,19.071638151449765,10.484375,11.858499999999998,45,37.82128254620565
8,01,19.0625,19.071638151449765,10.484375,12.8941,45,32.39122985866931
9,00,12.328125,12.425180479249004,8.6296875,10.7547,30,13.444315614077674
9,01,12.328125,12.425180479249004,8.6296875,10.7984,30,13.09261046119894
10,00,14.75,14.899357565277914,12.5375,13.1974,15,11.42302651521181
10,01,14.75,14.899357565277914,12.5375,14.558900000000003,15,2.2850486256624003
10,02,14.75,14.899357565277914,12.5375,13.3134,15,10.644469456682447
11,00,13.97125,13.824292733517785,11.8755625,14.198300000000001,15,-2.7054350894596846
12,00,16.1875,18.201231094803532,16.1875,18.2884,0,-0.4789176333316991
12,01,16.1875,18.201231094803532,16.1875,20.4112,0,-12.141864985316397
13,00,16.0625,16.25962627015606,16.0625,17.334600000000002,0,-6.611306508422143
13,01,16.0625,16.25962627015606,16.0625,17.345399999999998,0,-6.677728699317265
14,00,20.345,20.133215333488987,20.345,23.5513,0,-16.977341223910102
14,01,20.345,20.133215333488987,20.345,22.829099999999997,0,-13.390234107449084
15,00,20.4921875,20.470192832811524,15.369140625,16.272000000000002,25,20.50880940448333
15,01,20.4921875,20.470192832811524,15.369140625,15.756099999999998,25,23.02905923414331
16,00,16.53125,16.539597657898078,9.91875,9.4574,40,42.819648968402504
16,01,16.53125,16.539597657898078,9.91875,9.6039,40,41.93389586224975
17,00,11.40625,11.399456570540147,9.125,10.194799999999999,20,10.56766665222768
17,01,11.40625,11.399456570540147,9.125,9.495800000000001,20,16.69953790130493
18,00,20.546875,20.48705304976249,16.4375,15.667600000000002,20,23.524384097879615
19,00,19.875,19.906907762737173,11.924999999999999,13.1726,40,33.828999676900175
19,01,19.875,19.906907762737173,11.924999999999999,12.7084,40,36.160853551608504
20,00,19.5625,18.4168232433259,17.60625,18.1775,10,1.2994816758782224
20,01,19.5625,18.4168232433259,17.60625,18.169,10,1.3456351296400104
21,00,16.625,16.67990718644512,12.46875,13.141199999999998,25,21.215388952049107
21,01,16.625,16.67990718644512,12.46875,14.418099999999999,25,13.560070575711435
22,00,12.28125,12.251082717196075,8.596874999999999,11.372,30,7.175551234848509
22,01,12.28125,12.251082717196075,8.596874999999999,11.406600000000001,30,6.893127217325268
23,00,12.34375,12.45015692199501,9.875,10.835500000000001,20,12.968968440409634
23,01,12.34375,12.45015692199501,9.875,11.341700000000001,20,8.903156232808263
24,00,13.96875,14.120277702408375,9.0796875,8.865400000000001,35,37.215115829571076
24,01,13.96875,14.120277702408375,9.0796875,9.174399999999999,35,35.026773599252934
25,00,17.7825,18.106007689347898,15.115124999999999,18.936000000000003,15,-4.5840713474368355
26,00,8.9375,9.171682411288554,8.043750000000001,11.993900000000002,10,-30.770991211359956
26,01,8.9375,9.171682411288554,8.043750000000001,11.9954,10,-30.78734589889418
