leaf_id,media_id,real_original_area,estimated_original_area,real_remaining_area,calculated_remaining_area,real_defoliation,estimated_defoliation
6,00,10.84375,10.824676231062126,9.2171875,11.354199999999999,15,-4.891820851125028
6,01,10.84375,10.824676231062126,9.2171875,11.548699999999998,15,-6.688641336543988
7,00,18.28125,18.49208548741764,12.796875,14.959099999999998,30,19.105392357295514
7,01,18.28125,18.49208548741764,12.796875,14.7039,30,20.485442217943405
8,00,19.0625,19.071638151449765,10.484375,13.410200000000001,45,29.685117274623828
8,01,19.0625,19.071638151449765,10.484375,13.6948,45,28.19284902928506
9,00,12.328125,12.425180479249004,8.6296875,11.037299999999998,30,11.16990197097637
9,01,12.328125,12.425180479249004,8.6296875,10.9631,30,11.767076395315057
10,00,14.75,14.899357565277914,12.5375,14.0036,15,6.012054958432733
10,01,14.75,14.899357565277914,12.5375,14.7643,15,0.9064656961630169
10,02,14.75,14.899357565277914,12.5375,14.915800000000003,15,-0.11035666907146524
11,00,13.97125,13.824292733517785,11.8755625,14.2913,15,-3.3781638994805796
12,00,16.1875,18.201231094803532,16.1875,21.209500000000002,0,-16.527832043489266
12,01,16.1875,18.201231094803532,16.1875,21.091200000000008,0,-15.877876008186975
13,00,16.0625,16.25962627015606,16.0625,20.892699999999998,0,-28.49434330694165
13,01,16.0625,16.25962627015606,16.0625,20.842,0,-28.18252802190613
14,00,20.345,20.133215333488987,20.345,24.712400000000002,0,-22.74442800447347
14,01,20.345,20.133215333488987,20.345,25.0998,0,-24.668611467388146
15,00,20.4921875,20.470192832811524,15.369140625,16.0331,25,21.675872176931033
15,01,20.4921875,20.470192832811524,15.369140625,16.1516,25,21.096981684946726
16,00,16.53125,16.539597657898078,9.91875,10.372299999999997,40,37.28807547475642
16,01,16.53125,16.539597657898078,9.91875,9.834100000000001,40,40.542084496813814
17,00,11.40625,11.399456570540147,9.125,10.5435,20,7.508748906085694
17,01,11.40625,11.399456570540147,9.125,10.6793,20,6.317464048253518
18,00,20.546875,20.48705304976249,16.4375,15.9206,20,22.28945782817422
19,00,19.875,19.906907762737173,11.924999999999999,13.4967,40,32.20092160539442
19,01,19.875,19.906907762737173,11.924999999999999,13.289000000000001,40,33.24427802456055
20,00,19.5625,18.4168232433259,17.60625,19.5019,10,-5.891769402018454
20,01,19.5625,18.4168232433259,17.60625,20.314900000000005,10,-10.30621150888198
21,00,16.625,16.67990718644512,12.46875,15.3592,25,7.917952849991816
21,01,16.625,16.67990718644512,12.46875,15.503900000000002,25,7.050442027643888
22,00,12.28125,12.251082717196075,8.596874999999999,11.7523,30,4.071335805250631
22,01,12.28125,12.251082717196075,8.596874999999999,11.821899999999998,30,3.503222752660551
23,00,12.34375,12.45015692199501,9.875,12.843100000000002,20,-3.156129520831996
23,01,12.34375,12.45015692199501,9.875,12.940399999999999,20,-3.9376457748809823
24,00,13.96875,14.120277702408375,9.0796875,9.4473,35,33.09409206315641
24,01,13.96875,14.120277702408375,9.0796875,9.285699999999999,35,34.23854547551698
25,00,17.7825,18.106007689347898,15.115124999999999,19.2338,15,-6.2288292924762345
26,00,8.9375,9.171682411288554,8.043750000000001,11.8142,10,-28.811699644756782
26,01,8.9375,9.171682411288554,8.043750000000001,11.9573,10,-30.371936835524238
