leaf_id,media_id,real_original_area,estimated_original_area,real_remaining_area,calculated_remaining_area,real_defoliation,estimated_defoliation
6,00,10.84375,10.824676231062126,9.2171875,9.7466,15,9.959431654579321
6,01,10.84375,10.824676231062126,9.2171875,9.1348,15,15.611332801002531
7,00,18.28125,18.49208548741764,12.796875,12.85115,30,30.504593390809475
7,01,18.28125,18.49208548741764,12.796875,12.162450000000003,30,34.22888939013633
8,00,19.0625,19.071638151449765,10.484375,11.38205,45,40.31949479318968
8,01,19.0625,19.071638151449765,10.484375,12.162249999999998,45,36.228603419284866
9,00,12.328125,12.425180479249004,8.6296875,9.4473,30,23.966496778234248
9,01,12.328125,12.425180479249004,8.6296875,9.2147,30,25.838501779597888
10,00,14.75,14.899357565277914,12.5375,12.14955,15,18.45588008228073
10,01,14.75,14.899357565277914,12.5375,13.236150000000002,15,11.162948187470311
10,02,14.75,14.899357565277914,12.5375,12.87945,15,13.557011142448117
11,00,13.97125,13.824292733517785,11.8755625,12.3183,15,10.893813973328403
12,00,16.1875,18.201231094803532,16.1875,17.6488,0,3.035130381709461
12,01,16.1875,18.201231094803532,16.1875,19.3637,0,-6.38675976993861
13,00,16.0625,16.25962627015606,16.0625,16.575499999999998,0,-1.9426875168939928
13,01,16.0625,16.25962627015606,16.0625,15.843200000000001,0,2.5611060379683637
14,00,20.345,20.133215333488987,20.345,20.58155,0,-2.2268408651312965
14,01,20.345,20.133215333488987,20.345,21.342950000000002,0,-6.008651109486607
15,00,20.4921875,20.470192832811524,15.369140625,14.600850000000003,25,28.67263088701145
15,01,20.4921875,20.470192832811524,15.369140625,14.37905,25,29.7561575631475
16,00,16.53125,16.539597657898078,9.91875,9.152999999999999,40,44.660080678388155
16,01,16.53125,16.539597657898078,9.91875,9.132200000000001,40,44.78583948117297
17,00,11.40625,11.399456570540147,9.125,9.7472,20,14.494169615156116
17,01,11.40625,11.399456570540147,9.125,9.3367,20,18.09521846743968
18,00,20.546875,20.48705304976249,16.4375,14.4169,20,29.629215265945064
19,00,19.875,19.906907762737173,11.924999999999999,12.9982,40,34.705077479031
19,01,19.875,19.906907762737173,11.924999999999999,12.2657,40,38.384704715618355
20,00,19.5625,18.4168232433259,17.60625,17.019350000000003,10,7.588025496375062
20,01,19.5625,18.4168232433259,17.60625,16.96055,10,7.907298800044904
21,00,16.625,16.67990718644512,12.46875,12.197,25,26.87609191307817
21,01,16.625,16.67990718644512,12.46875,13.2027,25,20.84668186445824
22,00,12.28125,12.251082717196075,8.596874999999999,10.84545,30,11.473538703832908
22,01,12.28125,12.251082717196075,8.596874999999999,9.76325,30,20.307043668100132
23,00,12.34375,12.45015692199501,9.875,9.828,20,21.061235921955245
23,01,12.34375,12.45015692199501,9.875,10.0687,20,19.12792695638896
24,00,13.96875,14.120277702408375,9.0796875,8.17275,35,42.120472612192
24,01,13.96875,14.120277702408375,9.0796875,8.84595,35,37.35286099584839
25,00,17.7825,18.106007689347898,15.115124999999999,17.327199999999998,15,4.301377215287983
26,00,8.9375,9.171682411288554,8.043750000000001,10.76695,10,-17.393401964594645
26,01,8.9375,9.171682411288554,8.043750000000001,10.16715,10,-10.853707575899252
