leaf_id,media_id,real_original_area,estimated_original_area,real_remaining_area,calculated_remaining_area,real_defoliation,estimated_defoliation
6,00,10.84375,10.824676231062126,9.2171875,10.481700000000002,15,3.1684664163712517
6,01,10.84375,10.824676231062126,9.2171875,9.5304,15,11.956720029631141
7,00,18.28125,18.49208548741764,12.796875,13.289599999999998,30,28.13357904362658
7,01,18.28125,18.49208548741764,12.796875,12.339,30,33.27415662016225
8,00,19.0625,19.071638151449765,10.484375,11.739300000000002,45,38.44629440440796
8,01,19.0625,19.071638151449765,10.484375,12.1382,45,36.354706902420475
9,00,12.328125,12.425180479249004,8.6296875,10.165899999999999,30,18.183079779180478
9,01,12.328125,12.425180479249004,8.6296875,10.127099999999999,30,18.495348885168905
10,00,14.75,14.899357565277914,12.5375,12.878300000000001,15,13.564729596045598
10,01,14.75,14.899357565277914,12.5375,13.799499999999998,15,7.381912679517599
10,02,14.75,14.899357565277914,12.5375,13.046000000000001,15,12.439177710568238
11,00,13.97125,13.824292733517785,11.8755625,13.117900000000002,15,5.109792935772351
12,00,16.1875,18.201231094803532,16.1875,18.8535,0,-3.5836526760142595
12,01,16.1875,18.201231094803532,16.1875,20.457399999999996,0,-12.395693969517275
13,00,16.0625,16.25962627015606,16.0625,18.1884,0,-11.862349710854891
13,01,16.0625,16.25962627015606,16.0625,17.2493,0,-6.0866942044077055
14,00,20.345,20.133215333488987,20.345,22.033100000000005,0,-9.43656855122792
14,01,20.345,20.133215333488987,20.345,22.930600000000005,0,-13.894376135032594
15,00,20.4921875,20.470192832811524,15.369140625,15.1926,25,25.78184229096322
15,01,20.4921875,20.470192832811524,15.369140625,14.9234,25,27.096925163892983
16,00,16.53125,16.539597657898078,9.91875,9.1992,40,44.380751029894924
16,01,16.53125,16.539597657898078,9.91875,8.729299999999999,40,47.22181167550025
17,00,11.40625,11.399456570540147,9.125,9.651599999999998,20,15.332806083556394
17,01,11.40625,11.399456570540147,9.125,8.9292,20,21.669950275735804
18,00,20.546875,20.48705304976249,16.4375,14.5491,20,28.983929681537735
19,00,19.875,19.906907762737173,11.924999999999999,12.9501,40,34.94670214808199
19,01,19.875,19.906907762737173,11.924999999999999,12.3318,40,38.05265917249423
20,00,19.5625,18.4168232433259,17.60625,18.281700000000004,10,0.7336946309394854
20,01,19.5625,18.4168232433259,17.60625,18.6173,10,-1.0885523199379632
21,00,16.625,16.67990718644512,12.46875,12.966099999999999,25,22.26515498517364
21,01,16.625,16.67990718644512,12.46875,13.521400000000002,25,18.935999769902022
22,00,12.28125,12.251082717196075,8.596874999999999,10.667099999999998,30,12.929328401095031
22,01,12.28125,12.251082717196075,8.596874999999999,10.419300000000003,30,14.952006769368342
23,00,12.34375,12.45015692199501,9.875,10.4019,20,16.45165546770312
23,01,12.34375,12.45015692199501,9.875,10.653600000000003,20,14.429994202090167
24,00,13.96875,14.120277702408375,9.0796875,7.837,35,44.49825870872702
24,01,13.96875,14.120277702408375,9.0796875,8.7642,35,37.931815615034495
25,00,17.7825,18.106007689347898,15.115124999999999,17.054999999999996,15,5.8047456257639185
26,00,8.9375,9.171682411288554,8.043750000000001,11.630999999999998,10,-26.81424714057372
26,01,8.9375,9.171682411288554,8.043750000000001,11.119299999999999,10,-21.23511806638996
